7,варенья,Вишнёвое (с косточками) 345,0021-09-09 00:00:00,2019-03-16 08:45:00,140,ab0c6b16e41f44b0,del,,255
84,варенья,Вишнёвое (с косточками),0015-03-14 00:00:00,2019-03-16 08:45:00,140,ab0c6b16e41f44b0,,,25
109,Заказ обеда,Заказ обеда(первое+салат) на послезавтра,,,,,del,,0
108,Заказ обеда,Заказ обеда(первое+салат) на завтра,,,,,del,,0
117,Заказ обеда,Заказ обеда на завтра,,,,,del,,0
118,Заказ обеда,Заказ обеда на послезавтра,,,,,del,,0
183,выпечка,С вишней,,,,,,,3
185,выпечка,С капустой,,,,,,,3
181,выпечка,С картошкой и печенью,,,,,,,4
180,выпечка,С мясом,,,,,,,5
184,выпечка,С яблоками,,,,,,,3
176,напиток,Компот,,,,,,,3
8,выпечка,С мясом копченым,0022-09-09 00:00:00,2019-03-17 11:09:00,140,a696945e7053af62,,,8
111,Заказ обеда,Заказ обеда(только второе) на послезавтра,,,,,del,,0
110,Заказ обеда,Заказ обеда(только второе) на завтра,,,,,del,,0
1,ПолуФабрикат,Вареники с вишней,,2019-02-21 07:09:00,,,del,,19
119,заказ полдника,Полдник (заказ),,,,,del,,0
177,напиток,Кофе,,,,,,,4
178,напиток,Кофе с молоком,,,,,,,5
162,напиток,Молоко (300 мл),,,,,,,4
174,напиток,Салат овощной,,,,,,,4
175,напиток,Салат с майонезом,,,,,,,6
130,обед,Обед полный,,,,,,,16
132,обед,Обед(первое+салат),,,,,,,9
131,обед,Обед(только второе),,,,,,,9
179,полдник,Полдник,,,,,,,11
186,ПолуФабрикат,Вареники с капустой,,,,,,,15
187,ПолуФабрикат,Вареники с картошкой и грибами,,,,,,,17
190,ПолуФабрикат,Вареники с мясом,,,,,,,29
133,ПолуФабрикат,Вареники со смородиной,,,,,,,16
191,ПолуФабрикат,Пельмени по-домашнему,,,,,,,25
140,ПолуФабрикат,Пельмени с дичью,,,,,,,26
189,ПолуФабрикат,Вареники с вишней,,2019-02-21 07:46:00,,,,,20
4,ПолуФабрикат,Вареники с вишней NEW2,0021-09-09 00:00:00,2019-03-16 15:41:00,140,ab0c6b16e41f44b0,del,,20
2,Porcion,Вареники с вишней,,2019-03-12 09:38:00,,,del,,23
182,выпечка,Ватрушка,0020-02-09 00:00:00,2019-08-14 19:14:00,140,447f3df9c7240c3c,,,5
9,варенья,клубничное новое,0015-09-01 00:00:00,2019-09-28 09:42:00,140,447f3df9c7240c3c,,,25
83,варенья,Джем из кр. смородины со сливками2,0017-09-05 00:00:00,2019-09-30 12:51:00,140,447f3df9c7240c3c,,,35
97,ПолуФабрикат,Икра кабачковая,0035-09-10 00:00:00,2020-03-30 06:19:00,528,70566f4ac30bd154,,,15
188,ПолуФабрикат,Вареники с творогом,0032-12-10 00:00:00,2020-06-27 09:02:00,140,cb99776f4779ac6d,,,23
10,ПолуФабрикат,Вареники с творогом,0032-12-10 00:00:00,2020-06-27 09:01:00,140,cb99776f4779ac6d,del,,25
100,ПолуФабрикат,Котлета по-киевски,0035-09-10 00:00:00,2020-03-30 06:19:00,"","","",,10
11,ПолуФабрикат,Вареники с дичью,2020-11-28 11:01:00,2020-11-28 11:01:00,140,46860b782c3139e3,del,,29
138,ПолуФабрикат,Вареники с дичью,2020-11-28 11:03:00,2020-11-28 11:03:00,140,46860b782c3139e3,,,29
12,полдник,Полдник22,2020-11-29 13:29:00,2020-11-29 13:29:00,140,10505312be2c4abb,del,,115
103,ПолуФабрикат,Торт печеночный (100 г),0035-09-10 00:00:00,2020-03-30 06:19:00,"","","",,9
81,варенья,Клубничное,0022-09-09 00:00:00,2019-09-28 09:42:00,"","","",,30
3,ПолуФабрикат,Вареники с вишней,0022-09-09 00:00:00,2019-02-21 11:15:00,"","","",,21
82,варенья,Черная смородина,0022-09-09 00:00:00,2019-09-28 09:42:00,"","","",,30
32,напиток,Сок,0022-09-09 00:00:00,2019-09-28 09:42:00,"","","",,3
31,напиток,Фреш апельсиновый НОВЫЙ,0022-09-09 00:00:00,2019-09-28 09:42:00,"","","",,8
99,ПолуФабрикат,Колбаса домашняя говяжья,0035-09-10 00:00:00,2020-03-30 06:19:00,"","","",,71
98,ПолуФабрикат,Капуста квашеная,0035-09-10 00:00:00,2020-03-30 06:19:00,"","","",,6
13,ПолуФабрикат,Вареники с творогом,0032-12-10 00:00:00,2020-06-27 09:02:00,999,cb99776f4779ac6d,"",,23
14,ПолуФабрикат,Вареники с творогом,0032-12-10 00:00:00,2020-06-27 09:02:00,999,cb99776f4779ac6d,"",,23
15,ПолуФабрикат,Вареники с творогом,0032-12-10 00:00:00,2020-06-27 09:02:00,999,cb99776f4779ac6d,"",,23
16,ПолуФабрикат,Вареники с творогом,0032-12-10 00:00:00,2020-06-27 09:02:00,145,cb99776f4779ac6d,"",,23
